의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2109706,21,방송법 일부개정법률안,정희용의원등11인,정희용,"권명호,김병욱,김영식,김용판,류성걸,송언석,정진석,최춘식,태영호,허은아",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2Y1S0F4U2Y3P1T6Y0G2M1I5Z6U4H3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2Y1S0F4U2Y3P1T6Y0G2M1I5Z6U4H3
2109705,21,기후위기 대응과 정의로운 녹색전환을 위한 기본법안,강은미의원등10인,강은미,"김홍걸,류호정,배진교,심상정,양정숙,용혜인,이은주,장혜영,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2R1C0Z4H2D1G1X4C5V9Z1E7R1O8Y0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2R1C0Z4H2D1G1X4C5V9Z1E7R1O8Y0
2109704,21,인터넷 멀티미디어 방송사업법 일부개정법률안,정희용의원등11인,정희용,"권명호,김병욱,김영식,김용판,류성걸,송언석,정진석,최춘식,태영호,허은아",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2N1W0P4B2G3R1J6O0G3M1H8R4A5B4&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2N1W0P4B2G3R1J6O0G3M1H8R4A5B4
2109703,21,지능형 사물정보통신 진흥 및 이용 활성화에 관한 법률안,한준호의원등16인,한준호,"강훈식,기동민,김병욱,김홍걸,노웅래,문진석,박정,오영환,이병훈,이수진,이용빈,이장섭,정필모,홍성국,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2D1B0G4D2N1R0T9K0W7G2U9E6C6H6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2D1B0G4D2N1R0T9K0W7G2U9E6C6H6
2109702,21,군인사법 일부개정법률안,김민기의원 등 11인,김민기,"기동민,김성주,김진표,박성준,박완주,송재호,안규백,이재정,최종윤,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2Y1D0U3P2J3T1C4B3D4R5Y4A0S3U3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2Y1D0U3P2J3T1C4B3D4R5Y4A0S3U3
2109701,21,형사소송법 일부개정법률안,송기헌의원등11인,송기헌,"김승원,박성준,백혜련,소병철,이상헌,이해식,정일영,조응천,주철현,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2Y1P0K3C2E5R2T0L0E2O2V1O5L4F0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2Y1P0K3C2E5R2T0L0E2O2V1O5L4F0
2109700,21,문화예술진흥법 일부개정법률안,김선교의원 등 10인,김선교,"구자근,김석기,김예지,김형동,성일종,윤창현,이만희,이철규,정운천",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2O1K0L4O2I3P1Q7H1U2L2T2U5X1N7&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2O1K0L4O2I3P1Q7H1U2L2T2U5X1N7
2109699,21,건설산업기본법 일부개정법률안,김선교의원 등 10인,김선교,"권성동,김석기,김예지,박대수,성일종,안병길,이양수,이철규,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2N1Z0E4P2T3J1A6M5E7L5G2Y3S3I6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2N1Z0E4P2T3J1A6M5E7L5G2Y3S3I6
2109698,21,공직선거법 일부개정법률안,정청래의원등10인,정청래,"강득구,김병주,김승원,송갑석,양이원영,윤재갑,이규민,이상헌,이수진",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2A1Q0K3Z2M2Q1D4I5M2E0H8M2H3E1&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_C2A1Q0K3Z2M2Q1D4I5M2E0H8M2H3E1
2109697,21,형사소송법 일부개정법률안,전주혜의원등12인,전주혜,"김도읍,김상훈,김승수,김은혜,김태호,서범수,서병수,신원식,윤주경,정진석,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2H1D0B4E2L0K1H7E1O6F0B2L0K2R6&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2H1D0B4E2L0K1H7E1O6F0B2L0K2R6
2109696,21,자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,김성원의원 등 10인,김성원,"김용판,박대수,박덕흠,배현진,정운천,최춘식,최형두,추경호,한기호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2N1U0Z4P2I3U1H5F3M9G0D1G7W4O9&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2N1U0Z4P2I3U1H5F3M9G0D1G7W4O9
2109695,21,보호관찰 등에 관한 법률 일부개정법률안,김남국의원등11인,김남국,"김병주,김승원,소병철,오영환,이규민,이용빈,이재정,장경태,전용기,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2T1C0A2N1C8N1K5E3Z1A2C6I3X3H3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2T1C0A2N1C8N1K5E3Z1A2C6I3X3H3
2109694,21,출소자 등 사회정착 지원에 관한 법률안,김남국의원 등 11인,김남국,"김병주,김승원,소병철,오영환,이규민,이용빈,이재정,장경태,전용기,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Q1O0D2K1L8X1O5F2Q8W5L4P0L2K2&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2Q1O0D2K1L8X1O5F2Q8W5L4P0L2K2
2109693,21,고등교육법 일부개정법률안,안민석의원등11인,안민석,"강준현,김병욱,김승남,김홍걸,서동용,양경숙,이성만,이정문,조오섭,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2H1G0K2F1C9L1P5D1Z3Q5W9R7V5N0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2H1G0K2F1C9L1P5D1Z3Q5W9R7V5N0
2109692,21,댐건설 및 주변지역지원 등에 관한 법률 일부개정법률안,임이자의원등10인,임이자,"김병욱,박대수,박덕흠,박형수,백종헌,송언석,이종배,정진석,하영제",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2U1J0T4B2E2M1T1O2N5X4Z6U5E7E2&ageFrom=21&ageTo=21,환경노동위원회,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2U1J0T4B2E2M1T1O2N5X4Z6U5E7E2
2109691,21,공직선거법 일부개정법률안,박완수의원 등 10인,박완수,"김기현,김성원,류성걸,백종헌,임이자,조경태,최형두,추경호,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2Q1X0W4Z2E3S1G4M4R2A0K6H2H6T0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2Q1X0W4Z2E3S1G4M4R2A0K6H2H6T0
2109690,21,동물보호법 일부개정법률안,어기구의원등11인,어기구,"강훈식,고용진,김병욱,김승원,노웅래,서삼석,유정주,윤준병,임종성,정춘숙",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y1S0J4M2S1I1Q5L0S0Z3D0T9G3K2&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I2Y1S0J4M2S1I1Q5L0S0Z3D0T9G3K2
2109689,21,건강가정기본법 일부개정법률안,이수진의원등10인,이수진,"권인숙,민형배,배진교,양이원영,위성곤,유정주,이용선,이은주,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2X1C0D4D1X3M1X0D4G4E3V0A1K5F3&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2X1C0D4D1X3M1X0D4G4E3V0A1K5F3
2109688,21,지방자치단체 기금관리기본법 일부개정법률안,김민철의원등13인,김민철,"김철민,김홍걸,민형배,민홍철,서영교,양향자,어기구,오영환,이용호,임오경,장철민,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F1B0T3U1C2U2C1B5I4N1V7L1P6N0&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G2F1B0T3U1C2U2C1B5I4N1V7L1P6N0
2109687,21,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,구자근의원등12인,구자근,"곽상도,김은혜,김태호,김태흠,박대수,박덕흠,박성민,양금희,이종배,조수진,홍준표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2M1H0N4C0T8Q1H3G2W3F1F7M8H6P8&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2M1H0N4C0T8Q1H3G2W3F1F7M8H6P8
2109686,21,액화석유가스의 안전관리 및 사업법 일부개정법률안,강훈식의원 등 10인,강훈식,"기동민,김윤덕,맹성규,이광재,이동주,이상헌,이용빈,이장섭,한준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2H1V0V4C2C3D1D1Y3D7W2P7D8G3U4&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2H1V0V4C2C3D1D1Y3D7W2P7D8G3U4
2109685,21,지방세법 일부개정법률안,김민철의원등13인,김민철,"김철민,김홍걸,민형배,민홍철,서영교,양향자,어기구,오영환,이용호,임오경,장철민,한병도",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2H1M0L3L1G2E2H1G5K2B3K0L3H5H5&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2H1M0L3L1G2E2H1G5K2B3K0L3H5H5
2109684,21,만화진흥에 관한 법률 일부개정법률안,김승수의원등18인,김승수,"김기현,김성원,김예지,김웅,김정재,박대수,배현진,백종헌,서병수,서일준,유경준,윤창현,이용,이주환,전주혜,정진석,한무경",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2W1U0L4J2K0T0B9Q4Z9C3N1Q2C8J2&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M2W1U0L4J2K0T0B9Q4Z9C3N1Q2C8J2
2109683,21,지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안,이형석의원등16인,이형석,"민홍철,박정,서영교,송갑석,송재호,안규백,유기홍,윤영덕,윤후덕,이병훈,이수진,이용빈,이해식,임호선,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2O1L0S4D1W5O0F9A3T5V3W7P7W6L8&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2O1L0S4D1W5O0F9A3T5V3W7P7W6L8
2109682,21,근로기준법 일부개정법률안,김예지의원등10인,김예지,"김선교,김성원,박덕흠,윤창현,이명수,정희용,지성호,최승재,추경호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2G1C0P3I2P9U1A6Z2Z6D0C9X6P7Y9&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2G1C0P3I2P9U1A6Z2Z6D0C9X6P7Y9
2109680,21,농지법 일부개정법률안,이동주의원등10인,이동주,"강득구,강은미,고영인,김윤덕,민형배,박상혁,서동용,양이원영,유정주",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2W0G1I2U0P1X1X4Q3C3O1U4D4H3J7&ageFrom=21&ageTo=21,null,2021-04-23,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2W0G1I2U0P1X1X4Q3C3O1U4D4H3J7
2109679,21,부동산 거래신고 등에 관한 법률 일부개정법률안,조응천의원등11인,조응천,"강준현,김교흥,문정복,문진석,박상혁,박영순,윤준병,장경태,조오섭,천준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2T1J0Y4T1O9S1A1M2Y4A4T9L3Q3D8&ageFrom=21&ageTo=21,국토교통위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M2T1J0Y4T1O9S1A1M2Y4A4T9L3Q3D8
2109678,21,콘텐츠산업 진흥법 일부개정법률안,김승수의원등18인,김승수,"김기현,김성원,김예지,김웅,김정재,박대수,배현진,백종헌,서병수,서일준,유경준,윤창현,이용,이주환,전주혜,정진석,한무경",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2B1W0J4T2H0H0Z9C4W7D1X2D0W6P8&ageFrom=21&ageTo=21,문화체육관광위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2B1W0J4T2H0H0Z9C4W7D1X2D0W6P8
2109677,21,약사법 일부개정법률안,인재근의원등11인,인재근,"김영진,서영석,소병훈,양이원영,양정숙,이장섭,이해식,최종윤,허영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2R1R0V4F1S9M1S4H1G5W0D7M8Y6Y3&ageFrom=21&ageTo=21,보건복지위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2R1R0V4F1S9M1S4H1G5W0D7M8Y6Y3
2109676,21,학교보건법 일부개정법률안,강득구의원등13인,강득구,"강민정,권인숙,김진표,문정복,박영순,배진교,소병훈,양경숙,오영훈,용혜인,이규민,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2W1C0D4D1H3E1E6Q0I9X4J1Z4N3E1&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2W1C0D4D1H3E1E6Q0I9X4J1Z4N3E1
2109675,21,조세특례제한법 일부개정법률안,서일준의원 등 13인,서일준,"김용판,김태흠,김형동,박대수,백종헌,서병수,양금희,이종성,이주환,정희용,지성호,하영제",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2V1X0Y3X2D4K1V2B4K5H0O3Y6M9T8&ageFrom=21&ageTo=21,기획재정위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2V1X0Y3X2D4K1V2B4K5H0O3Y6M9T8
2109674,21,장애인 등에 대한 특수교육법 일부개정법률안,김철민의원등14인,김철민,"김민철,김윤덕,도종환,민형배,박정,박찬대,신동근,안민석,유동수,윤후덕,이원욱,이정문,이해식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2R1H0W4K1T5P1H8H1E9W0A3M0H0T1&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_L2R1H0W4K1T5P1H8H1E9W0A3M0H0T1
2109673,21,어린이안전관리에 관한 법률 일부개정법률안,정일영의원등19인,정일영,"고용진,김경협,김병주,김정호,김종민,김주영,맹성규,민형배,소병철,송영길,신동근,양정숙,양향자,용혜인,유동수,윤관석,이원욱,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2M1P0K4U1I6G1T0D2E3P5M8H9K4V3&ageFrom=21&ageTo=21,행정안전위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2M1P0K4U1I6G1T0D2E3P5M8H9K4V3
2109672,21,가맹사업거래의 공정화에 관한 법률 일부개정법률안,오기형의원등10인,오기형,"김승원,민형배,소병철,송재호,윤영덕,윤준병,이용우,이해식,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2B1W0B4G1J5S1L0V0V3E2Z1W1T2Q4&ageFrom=21&ageTo=21,정무위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2B1W0B4G1J5S1L0V0V3E2Z1W1T2Q4
2109671,21,학교폭력예방 및 대책에 관한 법률 일부개정법률안,임종성의원등11인,임종성,"강선우,기동민,김윤덕,민형배,송갑석,송옥주,안호영,윤준병,정춘숙,최종윤",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_M2V1B0Z4U2M0A1F4N2N2S2X1O9Q8A8&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_M2V1B0Z4U2M0A1F4N2N2S2X1O9Q8A8
2109670,21,공유수면 관리 및 매립에 관한 법률 일부개정법률안,서일준의원 등 17인,서일준,"김용판,김태흠,김형동,박대수,백종헌,서병수,양금희,윤창현,이종성,이주환,이채익,정희용,지성호,태영호,하영제,홍준표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2L1S0O3B2Y4E1T2X4W5N3Q2U9M0R4&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2L1S0O3B2Y4E1T2X4W5N3Q2U9M0R4
2109669,21,지방교육자치에 관한 법률 일부개정법률안,최종윤의원등10인,최종윤,"민병덕,백혜련,오영환,이규민,이수진,이인영,인재근,임종성,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2F1W0U3L2S6X1E1P3Y8J2Q5N4Y8C7&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2F1W0U3L2S6X1E1P3Y8J2Q5N4Y8C7
2109668,21,종합부동산세법 일부개정법률안,이헌승의원 등 12인,이헌승,"김도읍,김병욱,김정재,박성민,서병수,송석준,이양수,이주환,임이자,최형두,하영제",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2J1Q0W4U2T0F1N7B0B5H2G9P6B6C2&ageFrom=21&ageTo=21,기획재정위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2J1Q0W4U2T0F1N7B0B5H2G9P6B6C2
2109667,21,노인복지법 일부개정법률안,김태호의원 등 19인,김태호,"강기윤,곽상도,권명호,김병욱,김형동,박대출,서병수,서일준,안병길,윤영석,윤재옥,이용,이주환,정경희,정진석,조수진,홍석준,홍준표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2A1F0M4P2H2J1K1N4A4R2M1N5D2B2&ageFrom=21&ageTo=21,보건복지위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_D2A1F0M4P2H2J1K1N4A4R2M1N5D2B2
2109666,21,초·중등교육법 일부개정법률안,권인숙의원등11인,권인숙,"강득구,김철민,박찬대,서동용,소병철,유기홍,윤영덕,이규민,이탄희,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2A1J0R4M1O4F1Q5M3B2M1Y2Q0K6F0&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2A1J0R4M1O4F1Q5M3B2M1Y2Q0K6F0
2109665,21,장애인 등에 대한 특수교육법 일부개정법률안,권인숙의원등11인,권인숙,"강득구,김철민,김홍걸,박찬대,서동용,소병철,유기홍,윤영덕,이탄희,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2D1B0X4M1R4E1W5V2N3G1C5S3O9E9&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2D1B0X4M1R4E1W5V2N3G1C5S3O9E9
2109664,21,중소기업진흥에 관한 법률 일부개정법률안,한무경의원 등 12인,한무경,"권명호,김승수,김정재,김희국,박성민,서병수,윤창현,윤한홍,이용,정진석,지성호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2K1Y0P4Q1H9D1T4R2I9B2C8Z2X4Z2&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2K1Y0P4Q1H9D1T4R2I9B2C8Z2X4Z2
2109663,21,주차장법 일부개정법률안,정일영의원등18인,정일영,"고용진,김경협,김병주,김정호,김종민,김주영,맹성규,민형배,소병철,송영길,신동근,양정숙,양향자,윤관석,윤준병,이원욱,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2A1G0Z4R1J6R1X0P2L4P5B2J6T5R4&ageFrom=21&ageTo=21,국토교통위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2A1G0Z4R1J6R1X0P2L4P5B2J6T5R4
2109662,21,장애인활동 지원에 관한 법률 일부개정법률안,최종윤의원등13인,최종윤,"김진표,민병덕,백혜련,양이원영,오영환,이규민,이수진,이인영,인재근,임오경,조오섭,허영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2F1I0K3N2E6I1M1Y3A9L1S7Y2I5W2&ageFrom=21&ageTo=21,보건복지위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2F1I0K3N2E6I1M1Y3A9L1S7Y2I5W2
2109661,21,제대군인지원에 관한 법률 일부개정법률안,전용기의원등10인,전용기,"김남국,김병주,신정훈,오영환,유정주,윤재갑,윤준병,이병훈,이상헌",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2Y1L0V4D2A1I0D9Z2E7C2B2L2J2N1&ageFrom=21&ageTo=21,정무위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2Y1L0V4D2A1I0D9Z2E7C2B2L2J2N1
2109660,21,상법 일부개정법률안,이용우의원등12인,이용우,"고용진,노웅래,민병덕,민형배,박용진,소병철,이규민,이병훈,이수진,홍성국,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2Y1N0U4Q1G3A1Z5Z0O6H4Y3E6P5D9&ageFrom=21&ageTo=21,법제사법위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_E2Y1N0U4Q1G3A1Z5Z0O6H4Y3E6P5D9
2109659,21,공동주택관리법 일부개정법률안,최종윤의원 등 14인,최종윤,"김영호,맹성규,민병덕,백혜련,양이원영,오영환,이규민,이수진,이인영,인재근,임오경,조오섭,허영",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2U1I0R3S2X6L1E1C3T7N4I3O5J1H0&ageFrom=21&ageTo=21,국토교통위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2U1I0R3S2X6L1E1C3T7N4I3O5J1H0
2109658,21,대한노인회법안,김태호의원 등 19인,김태호,"강기윤,곽상도,권명호,김병욱,김형동,박대출,서병수,서일준,안병길,윤영석,윤재옥,이용,이주환,정경희,정진석,조수진,홍석준,홍준표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2L1D0R4Q2M2R1H0T3Y7G5N4G5R5V1&ageFrom=21&ageTo=21,보건복지위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G2L1D0R4Q2M2R1H0T3Y7G5N4G5R5V1
2109657,21,지역방송발전지원 특별법 일부개정법률안,이상민의원등10인,이상민,"기동민,김경협,김교흥,김윤덕,박성준,어기구,정춘숙,홍익표,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2O0I1R1N1N0G1F8Q4C4L5Z0Q5G3V1&ageFrom=21&ageTo=21,과학기술정보방송통신위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I2O0I1R1N1N0G1F8Q4C4L5Z0Q5G3V1
2109656,21,교육환경 보호에 관한 법률 일부개정법률안,정일영의원 등 19인,정일영,"고용진,김경협,김병주,김상희,김정호,김종민,김주영,맹성규,민형배,소병철,송영길,신동근,양정숙,양향자,유동수,윤관석,이원욱,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2L1S0I4T1A6Q1N0X2Q2T4L3M2R1X5&ageFrom=21&ageTo=21,교육위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2L1S0I4T1A6Q1N0X2Q2T4L3M2R1X5
2109655,21,국가재정법 일부개정법률안,이상민의원등10인,이상민,"기동민,김경협,김교흥,김윤덕,박성준,어기구,정춘숙,홍익표,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Q0U1G1D1R0K1S8Q4T3E1Y5Y2B1E4&ageFrom=21&ageTo=21,기획재정위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2Q0U1G1D1R0K1S8Q4T3E1Y5Y2B1E4
2109654,21,화물자동차 운수사업법 일부개정법률안,정일영의원등19인,정일영,"고용진,김경협,김병주,김정호,김종민,김주영,맹성규,민형배,소병철,송영길,신동근,양정숙,양향자,유동수,윤관석,윤준병,이원욱,주철현",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2F1X0S4U1A6K1S0L2G5X5Y5K6Q0Y9&ageFrom=21&ageTo=21,국토교통위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2F1X0S4U1A6K1S0L2G5X5Y5K6Q0Y9
2109653,21,중소기업진흥에 관한 법률 일부개정법률안,강훈식의원등13인,강훈식,"기동민,김성환,김윤덕,송갑석,이광재,이규민,이동주,이성만,이소영,이용빈,이장섭,조오섭",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2J1V0B4H1W6J1I0N1M1F0O1K7M5I2&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2J1V0B4H1W6J1I0N1M1F0O1K7M5I2
2109652,21,조세특례제한법 일부개정법률안,추경호의원 등 13인,추경호,"구자근,김석기,김영식,김정재,김희곤,류성걸,박완수,성일종,윤재옥,이만희,이헌승,정점식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2M1Q0R4N2G2Y0Q9B2C6P2L6D9U0L2&ageFrom=21&ageTo=21,기획재정위원회,2021-04-22,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_P2M1Q0R4N2G2Y0Q9B2C6P2L6D9U0L2
2109650,21,하도급거래 공정화에 관한 법률 일부개정법률안,민형배의원등10인,민형배,"도종환,박상혁,송재호,안규백,이정문,장경태,주철현,홍익표,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2S1Y0Z3W2U4Q1X1H5D2S1Z8T3W2L3&ageFrom=21&ageTo=21,정무위원회,2021-04-21,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_B2S1Y0Z3W2U4Q1X1H5D2S1Z8T3W2L3
