의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2107165,21,주차장법 일부개정법률안,맹성규의원 등 11인,맹성규,"김승원,박성준,박찬대,송영길,신동근,윤준병,이광재,전혜숙,허종식,황운하",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2O0P1M2X2T9K1R0T3T3W5K8P1D2N3&ageFrom=21&ageTo=21,국토교통위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2O0P1M2X2T9K1R0T3T3W5K8P1D2N3
2107164,21,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,김성원의원 등 10인,김성원,"김용판,박대수,이용,이종배,이주환,임이자,정진석,정희용,최형두",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2A1R0R1F0G5S1P5N1H6Y5X3S9T6C1&ageFrom=21&ageTo=21,법제사법위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_T2A1R0R1F0G5S1P5N1H6Y5X3S9T6C1
2107163,21,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안,노웅래의원등16인,노웅래,"고용진,권칠승,기동민,김수흥,김승남,김승원,소병훈,안호영,양경숙,윤미향,이병훈,인재근,전재수,정필모,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2F1O0C1C0Z4T1R7Z4G5B2C6G4Z6Z5&ageFrom=21&ageTo=21,법제사법위원회,2021-01-05,대안반영폐기,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_G2F1O0C1C0Z4T1R7Z4G5B2C6G4Z6Z5
2107162,21,상법 일부개정법률안,윤재옥의원 등 11인,윤재옥,"강대식,권영세,권은희,김성원,김승수,김희곤,박성중,성일종,유의동,정희용",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2W1U0M1X0W5L1V1B3I5Y2P7G8I1M1&ageFrom=21&ageTo=21,법제사법위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_V2W1U0M1X0W5L1V1B3I5Y2P7G8I1M1
2107161,21,상법 일부개정법률안,윤재옥의원 등 10인,윤재옥,"강대식,권영세,김성원,김승수,김희곤,박성중,성일종,유의동,정희용",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_J2H1J0Q1K0Y5P1C1D2I5E3Q4T8H4J0&ageFrom=21&ageTo=21,법제사법위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_J2H1J0Q1K0Y5P1C1D2I5E3Q4T8H4J0
2107160,21,소비자생활협동조합법 일부개정법률안,배진교의원 등 11인,배진교,"강은미,김홍걸,류호정,민형배,심상정,양정숙,유의동,이규민,이은주,허종식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2V0M1D2S2M2J0T9M0L1A3Y6D6M8O8&ageFrom=21&ageTo=21,정무위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2V0M1D2S2M2J0T9M0L1A3Y6D6M8O8
2107159,21,사회복지사 등의 처우 및 지위 향상을 위한 법률 일부개정법률안,김회재의원 등 10인,김회재,"문진석,박상혁,박영순,신정훈,이규민,조승래,조응천,최종윤,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2D0G1P1E1Y7A0A8T2H9W4X7M0Q3C9&ageFrom=21&ageTo=21,보건복지위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2D0G1P1E1Y7A0A8T2H9W4X7M0Q3C9
2107158,21,소상공인 보호 및 지원에 관한 법률 일부개정법률안,권명호의원 등 10인,권명호,"김기현,김형동,김희국,송언석,임이자,정운천,정진석,정희용,최춘식",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2L1G0P1E0I5L1Z0A2I8M1N1X0E4U3&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_H2L1G0P1E0I5L1Z0A2I8M1N1X0E4U3
2107157,21,청소년 보호법 일부개정법률안,최형두의원 등 11인,최형두,"강기윤,구자근,권명호,김예지,김은혜,박완수,서일준,윤영석,윤창현,윤한홍",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2J1K0A1H0T5W1K0P1H7L3P4X5Y7U1&ageFrom=21&ageTo=21,여성가족위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_W2J1K0A1H0T5W1K0P1H7L3P4X5Y7U1
2107156,21,의료법 일부개정법률안,강선우의원등11인,강선우,"김경만,김성주,서영석,신동근,양정숙,이규민,이수진,인재근,정춘숙,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2I0N1D2F3A1U0K9Q0C2B1A5B0Q9B9&ageFrom=21&ageTo=21,보건복지위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_F2I0N1D2F3A1U0K9Q0C2B1A5B0Q9B9
2107155,21,고등교육법 일부개정법률안,우원식의원등19인,우원식,"강득구,김남국,남인순,민형배,박홍근,송영길,신정훈,양경숙,양이원영,양정숙,윤관석,이규민,이병훈,이상헌,이학영,인재근,정춘숙,홍정민",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2A0C1Y2X2K9Z2B0I0D6C1K5S9G3V9&ageFrom=21&ageTo=21,교육위원회,2021-01-05,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2A0C1Y2X2K9Z2B0I0D6C1K5S9G3V9
