품목별(1),품목별(2),품목별(3),항목,시점,데이터
식품 및 산동물,소계,소계,수입액 (천달러),2021. 10,2754261
식품 및 산동물,소계,소계,수입액 (천달러),2021. 11,3021539
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 01,190
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 02,398
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 03,181
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 04,120
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 05,195
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 06,387
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 07,443
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 08,374
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 09,465
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 10,593
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 11,547
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2020. 12,703
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 01,550
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 02,887
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 03,680
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 04,796
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 05,778
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 06,874
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 07,616
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 08,528
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 09,587
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 10,711
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수출액 (천달러),2021. 11,827
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 01,4336
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 02,2828
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 03,8213
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 04,5815
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 05,6375
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 06,5098
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 07,4423
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 08,6648
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 09,6003
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 10,7112
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 11,6196
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2020. 12,6491
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 01,4480
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 02,2462
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 03,7714
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 04,6084
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 05,4251
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 06,5430
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 07,5152
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 08,5484
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 09,5212
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 10,5373
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,소계,수입액 (천달러),2021. 11,7097
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 01,190
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 02,398
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 03,181
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 04,120
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 05,195
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 06,387
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 07,443
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 08,374
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 09,465
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 10,593
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 11,547
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2020. 12,703
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 01,550
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 02,887
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 03,680
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 04,796
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 05,778
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 06,874
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 07,616
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 08,528
식품 및 산동물,중분류 03의 동물을 제외한 산 동물,중분류 03의 동물을 제외한 산 동물,수출액 (천달러),2021. 09,587
