"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"비식용원재료(연료제외)",기름용씨 및 기름함유 열매,소계,170,57456,136,69341,300,81901,249,92145,211,61695,186,99186,314,69573,261,46884,339,76711,249,49636,801,86425,281,101975,1445,36083,344,83216,380,104664,345,114570,310,73416,229,90651,409,121949,258,98499,357,82408,254,77001,293,105796
"비식용원재료(연료제외)",기름용씨 및 기름함유 열매,기름용씨및 식물성기름 추출용의 것,122,51084,83,64700,232,74379,206,86264,184,55763,157,92108,230,62572,178,41823,295,70790,134,39828,230,68389,121,78576,1353,23021,142,77458,300,97880,313,108738,267,66178,179,79830,183,113877,103,92981,100,78284,107,65408,103,78823
"비식용원재료(연료제외)",기름용씨 및 기름함유 열매,기타 기름용씨 및 기름함유 열매,48,6372,53,4641,67,7522,43,5881,27,5932,30,7078,84,7000,82,5061,44,5921,115,9808,571,18037,160,23399,91,13063,202,5758,80,6784,32,5832,43,7238,50,10821,226,8073,154,5518,257,4124,147,11594,190,26974
"비식용원재료(연료제외)",생고무(합성 및 재생고무 포함),소계,221324,70423,203437,66518,211990,74091,159778,69895,133018,72819,159462,62825,195358,57952,178597,53818,219622,66332,233714,60574,259321,73990,332693,84859,334043,80997,340474,76560,377645,106865,393411,89246,389112,100346,331818,98669,289443,99452,339566,105501,331888,70269,327631,93079,312528,85653
"비식용원재료(연료제외)",생고무(합성 및 재생고무 포함),천연고무발라타.구타페으카.가이율.치클 및 이와 유사한 천연검,94,35300,23,36844,57,46846,53,34007,62,38053,78,31954,196,31446,781,30347,256,37706,524,26228,105,39069,991,42945,111,43457,281,41959,638,58800,388,45536,371,59494,767,58630,68,56854,273,65875,640,33312,383,50923,122,46960
"비식용원재료(연료제외)",생고무(합성 및 재생고무 포함),합성고무재생고무,221230,35124,203414,29674,211933,27245,159725,35888,132956,34765,159384,30871,195162,26506,177816,23471,219366,28625,233190,34346,259216,34921,331702,41913,333933,37540,340194,34601,377007,48065,393023,43709,388741,40852,331051,40040,289375,42599,339293,39626,331248,36957,327248,42156,312405,38693
"비식용원재료(연료제외)",콜크 및 나무,소계,1297,135111,993,102927,1245,130933,1576,133412,1218,136104,657,145212,983,144016,777,131052,933,137497,737,147151,1049,130115,826,156438,1042,145151,654,125974,861,155427,774,182895,651,183116,685,220989,645,206266,415,198177,607,184096,863,184943,1181,198126
"비식용원재료(연료제외)",콜크 및 나무,천연콜크및 천연콜크찌꺼기,39,118,33,15,17,31,38,60,-,34,32,68,0,83,2,0,38,13,27,27,29,51,68,21,67,13,63,118,26,0,22,170,41,116,74,3,15,10,22,67,29,120,21,21,51,51
"비식용원재료(연료제외)",콜크 및 나무,연료용 나무(나무찌꺼기 제외) 및 숯,13,8952,24,6404,94,8056,4,7155,31,7975,1,8447,35,8752,40,8643,43,7321,21,7380,80,7281,10,7987,59,6858,31,6068,95,7638,56,8073,131,8328,56,8033,92,6976,53,6625,29,6567,14,6916,11,8077
"비식용원재료(연료제외)",콜크 및 나무,나무(칩상 또는 삭편상)및 나무찌꺼기,9,35404,-,28981,1,35922,5,32464,-,35758,-,32182,0,26691,1,32104,4,41478,1,45319,-,38415,6,45184,1,38276,0,39121,-,44393,8,49722,0,45953,6,54860,0,48133,3,37100,0,33016,6,39160,8,53132
"비식용원재료(연료제외)",콜크 및 나무,원목,10,32000,26,25420,19,28707,54,32065,33,28983,23,36824,127,32298,26,25596,2,26922,27,31364,1,30826,36,37900,157,40617,0,22923,89,40264,34,50638,36,41078,25,62928,-,48599,27,48728,15,46461,2,42289,21,42431
"비식용원재료(연료제외)",콜크 및 나무,간단히 가공한 나무 및 철도용 침목,1227,58637,910,42108,1115,58216,1476,61669,1154,63355,601,67691,820,76193,707,64709,847,61763,661,63060,939,53541,706,65346,759,59387,559,57744,652,63132,654,74293,443,87641,523,95165,537,102548,310,105656,534,97931,820,96556,1090,94434
"비식용원재료(연료제외)",펄프 및 폐지,소계,7537,122883,7835,97965,9223,121075,14466,130604,15976,116263,18270,111415,11329,92331,8874,98210,8196,100901,10049,116638,7448,95593,9120,101908,8845,111036,10099,97892,15479,127252,20953,146378,12875,130695,11445,151508,13157,176965,8436,180764,9665,141071,9353,164628,9512,145891
"비식용원재료(연료제외)",펄프 및 폐지,펄프 및 폐지,7537,122883,7835,97965,9223,121075,14466,130604,15976,116263,18270,111415,11329,92331,8874,98210,8196,100901,10049,116638,7448,95593,9120,101908,8845,111036,10099,97892,15479,127252,20953,146378,12875,130695,11445,151508,13157,176965,8436,180764,9665,141071,9353,164628,9512,145891
"비식용원재료(연료제외)",섬유 및 그 웨이스트,소계,124446,51020,132665,45644,138514,61450,94101,56520,73717,39281,99923,41238,115763,42238,111515,26658,134583,28557,128635,31732,127605,37672,137285,48211,117407,42359,123857,44085,153865,49688,142735,55491,138513,60560,148308,60040,142451,51947,133776,53110,132403,43025,145978,44967,151973,49079
"비식용원재료(연료제외)",섬유 및 그 웨이스트,견,1,1368,5,656,-,751,1,1187,0,403,1,298,0,632,0,116,6,347,-,483,-,361,6,488,-,166,-,210,-,780,-,565,2,482,-,774,0,375,0,243,0,309,2,911,28,268
"비식용원재료(연료제외)",섬유 및 그 웨이스트,면,1798,20028,2902,15844,1153,23113,1218,23279,1050,14246,1309,16762,1365,17511,792,7897,1289,6956,1154,9980,1312,14724,1725,20187,1540,18749,1573,19289,1610,17562,1768,24798,1984,29970,2216,29580,1359,19851,1229,26262,1413,16990,1047,19252,1241,21059
"비식용원재료(연료제외)",섬유 및 그 웨이스트,달리명시되지 않은 황마와 기타의 방직용 인피섬유,78,462,45,252,57,175,46,131,9,230,13,268,44,431,54,200,9,83,22,122,47,316,-,279,-,44,9,398,41,151,-,527,41,616,-,92,1,22,12,178,0,197,-,533,-,509
"비식용원재료(연료제외)",섬유 및 그 웨이스트,식물성 섬유 : 동섬유의 부스러기,0,144,1,70,1,139,0,126,1,108,5,45,2,185,1,74,2,107,-,20,14,42,-,50,-,194,-,58,0,153,0,170,-,178,-,178,3,246,0,176,0,58,-,78,2,173
"비식용원재료(연료제외)",섬유 및 그 웨이스트,방적에 적합한 합성섬유,93010,3453,99806,2680,102055,5283,74395,4364,54849,3584,70949,3537,81518,4002,81873,2669,97641,3244,93447,3509,92280,3615,101148,4710,86103,3660,93833,3076,115701,4299,103461,3859,102224,3880,112694,3870,106063,4009,103619,4081,98178,3567,108993,3443,112860,4290
"비식용원재료(연료제외)",섬유 및 그 웨이스트,방적에 적합한 기타 인공섬유,4837,10673,4619,14064,8938,12508,5545,12990,6327,10283,6741,8244,6378,8582,5333,5982,5811,7182,5773,7817,4272,8266,4819,9759,4756,8882,4214,9287,4260,11056,4800,9938,5978,10761,3863,10987,4598,11736,4528,8467,6383,9373,5658,9547,6095,9614
"비식용원재료(연료제외)",섬유 및 그 웨이스트,양모 및 기타 수모(양모톱 제외),-,12042,-,9125,-,16657,0,11641,-,8041,-,8812,1,7847,-,6700,87,7758,-,7064,0,7857,-,10201,107,7867,0,9173,-,13012,-,13188,208,13043,-,12235,-,12703,19,10731,-,9947,9,8633,-,10586
"비식용원재료(연료제외)",섬유 및 그 웨이스트,낡은 의류 및 기타 낡은 섬유제품 : 넝마,24721,2851,25289,2953,26309,2825,12897,2803,11482,2386,20904,3271,26454,3047,23462,3019,29737,2881,28238,2737,29679,2493,29586,2537,24901,2797,24228,2594,32253,2675,32706,2446,28077,1630,29535,2323,30427,3005,24369,2972,26428,2583,30269,2570,31747,2579
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,소계,13850,89451,14100,61339,14893,90641,13195,87860,10402,75286,12523,72922,11553,73045,13782,71156,13991,76310,16906,78772,15881,69757,18886,94747,20230,87464,20100,88994,26717,87677,24020,96785,28273,86666,27016,93734,32709,83595,29962,88489,30183,87598,32228,96909,45701,112130
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,미가공비료(56항의 것 제외),593,7415,448,3184,860,5960,526,5679,514,8022,1550,5676,950,5214,1243,5585,781,3088,457,6386,599,2860,804,5392,519,7652,520,5961,879,4021,737,8252,927,6523,1112,5094,1348,3400,1319,9046,946,1747,826,9882,1733,4951
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,돌모래 및 자갈,1268,10745,1934,8939,1231,18052,1372,11985,586,11723,910,13596,1347,11668,913,11241,1574,14896,1229,10618,1001,13265,1549,15140,1641,10604,1218,8695,1197,10116,1828,17298,1235,13488,1403,20078,2118,10399,1318,11769,1537,14863,2074,11266,2194,13330
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,유황 및 하소하지 않은 황하철광,3754,536,2954,919,2927,245,2544,161,2694,90,2886,72,2629,52,3190,55,3450,67,3522,71,4903,81,5602,246,6205,174,9424,222,11506,603,11078,200,16047,144,14032,577,16316,494,16994,707,14661,200,18595,966,26988,1861
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,달리 명시되지 않은 천연연마재(공업용 다이아몬드 포함),1151,3485,1069,3496,1205,4400,789,3127,915,2166,844,2307,1290,3049,1049,3007,1728,3276,1359,3335,1401,4007,1390,4870,1560,3912,1512,3394,1437,4093,1675,4507,1530,4352,1681,5181,1426,4922,1590,4095,1769,4283,2905,5213,2302,6286
"비식용원재료(연료제외)",미가공 비료 및 미가공 광물,기타 미가공 광물,7084,67271,7695,44800,8671,61985,7965,66907,5693,53284,6333,51271,5337,53062,7387,51267,6457,54983,10340,58362,7977,49542,9541,69098,10305,65122,7426,70722,11699,68844,8701,66528,8533,62158,8788,62804,11501,64381,8741,62872,11269,66506,7827,69582,12484,85701
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,소계,71364,1790823,63396,1462732,125659,1703986,192527,1950838,80297,1500048,80781,1478109,171161,1868259,98086,1460483,90774,2034007,105108,1897001,196860,2324879,133207,2245377,112963,2319479,149156,2304500,138289,2525895,282760,2974486,250796,2478842,236815,2974564,217862,3323682,284165,2763849,239953,2900082,164261,3178940,207650,2841549
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,철광석 및 정광,0,590710,185,463473,-,464768,254,610795,484,430132,1283,428029,974,552789,1049,617047,1807,558253,1213,654867,870,873570,1275,684949,779,755326,605,890713,1738,927846,1265,980663,3626,910708,3474,1180021,2196,1041318,1282,1054876,1206,1140278,664,1149110,261,972038
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,철의 웨이스트와 스크랩 및 철강의 재용해용 잉곳,11508,135682,12902,126446,15066,158537,9330,132494,9537,101584,9385,101961,16311,97707,12004,94501,18668,110382,16108,130333,11989,124543,22221,151723,14394,109136,15867,186695,28792,173295,45323,198840,40220,189892,40807,217489,36432,268459,31104,314900,27465,273514,33502,256657,28684,252010
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,동광석 및 정광 : 동매트 시멘트동,15392,324066,12519,217332,59144,377498,40366,452803,35388,293912,12858,337156,31149,527543,27941,256094,2235,378644,36205,349432,89488,442377,48651,474098,43019,476428,80297,470538,29404,194713,135062,595127,117092,492254,107688,502507,105811,872562,154041,413671,116651,594741,59668,616482,103825,551927
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,니켈광석 및 정광 : 니켈매트니켈신터,-,11253,78,18195,180,25884,323,30627,68,18184,216,20160,203,23541,4,23010,111,39510,220,18392,9,26302,-,41977,50,26598,21,6042,331,36981,89,23991,28,32207,393,33812,22,40081,625,41572,324,42351,81,35942,395,46624
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,알루미늄광과 그 정광,2715,10895,2103,11282,2032,15749,2176,13764,1625,11030,1983,15348,1603,10083,1872,11007,2998,12979,2896,13375,2730,11429,2719,12160,2745,9856,2524,12191,3154,14108,3202,14473,2563,11847,3999,8341,2944,15020,3604,12407,3073,13152,3138,15083,3698,15199
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,우라늄 및 토륨광석 및 정광,6,-,-,-,-,0,-,-,6,-,1,-,8,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,8,12,9,12,-,-,-,2,6,-,-,0,-,-,6,-,-,-
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,달리 명시되지 않은 금속의 광석 및 정광(귀금속 제외),2284,330127,1498,273084,16411,295512,7497,342655,6628,339977,12336,297805,3959,289208,4067,145804,4210,550663,3379,302626,4582,417089,5947,439539,5618,479910,3953,228247,14403,564731,6614,565389,8979,260047,23812,465067,14266,550910,11784,447830,12430,304195,15383,591066,12436,441754
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,달리 명시되지 않는 비철금속의 웨이스트,10351,266891,10389,263921,11818,253770,9643,233342,10588,188631,12523,199177,15624,217273,14788,238945,16900,251080,15274,264885,19893,266093,19287,266966,18617,257349,13425,295571,21970,382747,33584,393237,27022,393339,26157,409918,22739,403000,33069,375221,24484,411771,28197,417724,21147,430880
"비식용원재료(연료제외)",금속성 광석 및 금속 부스러기,귀금속의 광석 및 정광 : 귀금속의 웨이스트,29107,121198,23721,88999,21007,112269,122937,134358,15974,116598,30197,78473,101329,150114,36361,74075,43845,132495,29808,163092,67300,163476,33108,173965,27743,204876,32464,214503,38489,231462,57612,202753,51267,188549,30485,157407,33445,132334,48655,103372,54320,120080,23624,96876,37206,131119
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,소계,29001,89557,28461,75689,52065,87657,40005,87780,37648,78498,52651,80568,59351,89296,35562,77391,38228,76677,41445,90669,43039,74877,46071,86109,34304,88810,32677,66477,49947,98612,42067,85908,45541,89233,51279,83391,48088,82529,42052,80814,39741,81235,40942,89505,46451,101069
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,달리 명시되지 않은 미가동 동물성 물질,4004,37049,2537,20379,7856,28394,7255,25584,5151,24702,10814,24020,9668,25745,4356,21129,5297,24868,7664,30176,5221,23942,6706,22583,3114,27636,2236,15638,4519,24751,3944,21782,7078,20811,9866,20703,9059,26657,5871,17486,3568,20865,4834,25549,5573,34342
"비식용원재료(연료제외)",달리 명시되지 않은 미가공 동식물성 물질,달리 명시되지 않은 미가공 식물성 물질,24997,52508,25923,55311,44209,59263,32751,62197,32497,53796,41837,56548,49683,63551,31206,56261,32931,51809,33781,60493,37818,50935,39365,63526,31190,61175,30441,50839,45428,73861,38123,64126,38463,68422,41413,62688,39029,55871,36181,63328,36174,60370,36108,63957,40877,66727
"광물성연료,윤활유 및 관련물질",소계,소계,3479657,12067750,2855786,10683475,2426633,8759531,1560009,6465263,1251660,5033951,1756922,5039263,2157098,6332691,2080018,6024916,2038007,6580307,1733964,6250941,1860780,5833766,2243064,7491004,1973015,8249918,2506448,9634553,2868728,9427428,3085309,9713236,3237822,9820843,3180545,10281531,3784049,12197719,3210039,11971244,3712704,12406099,4245385,13371080,4225141,14606766
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,소계,3782,964037,32,762143,7784,828486,6604,955594,3356,810785,3107,744697,3026,789292,3308,708121,3157,806629,94,707353,1134,718560,43,800713,61,652980,8783,709297,8411,1036449,29104,860011,34082,842209,11511,991082,10470,1430600,4181,1273747,10443,1616265,6204,1337355,323,1965509
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄,30,953728,5,755890,4,818271,10,946939,-,803318,-,738585,-,781441,12,700242,9,799304,33,699463,-,711346,5,794713,18,642732,3,700323,41,1023974,7,848092,20,832573,3,977701,10,1419027,1,1261679,51,1602621,3,1317949,59,1940695
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄갈탄 및 토탄,18,1231,-,1407,23,1192,-,1822,-,2214,-,1682,-,2053,-,2167,-,1618,0,1830,5,879,0,1045,24,1374,0,2563,23,2316,0,1471,-,1643,-,1627,-,1466,-,1690,-,4335,0,2577,9,5451
"광물성연료,윤활유 및 관련물질",석탄코크 및 연탄,석탄갈탄또는 토탄의 코크 및 반성코크 : 분류카아본,3734,9078,28,4845,7756,9022,6594,6833,3356,5252,3107,4430,3026,5798,3296,5712,3148,5707,61,6060,1129,6336,37,4955,19,8874,8780,6411,8346,10159,29097,10447,34062,7994,11508,11754,10459,10107,4179,10378,10392,9309,6201,16829,255,19364
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,소계,3429008,8690726,2824627,7526168,2384757,5988111,1518181,3814331,1214774,2649582,1722038,2949972,2124800,4394446,2047215,4483096,1997122,4742814,1695984,4225158,1823212,3739824,2205967,4837398,1929910,5363506,2464543,5774722,2829439,6226038,3027167,7389248,3174418,7199418,3132317,7454992,3712410,8262861,3162332,8381598,3651965,8244330,4190725,8912321,4070347,8996777
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,원유 및 역청질 광물원유,3,6382596,0,5676823,0,4556077,-,3020539,-,2003633,-,2128237,-,3339463,-,3503872,-,3585930,-,3545772,-,2904960,-,3807695,-,4011244,-,4278207,-,4532165,-,5412029,-,5382448,-,5575108,-,5771188,-,6090376,-,5761521,0,6486477,-,6618609
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,석유와 역청유(원유를 제외) 및 이들의 조제품,3238804,2195237,2640531,1745138,2200589,1327935,1409320,741169,1096076,606266,1568299,767930,1961178,1003221,1909288,924761,1850753,1095488,1574358,623329,1685845,773855,2077041,938891,1771436,1263524,2290253,1378482,2663120,1582410,2881689,1844125,3005954,1674432,2931110,1762670,3485997,2362711,2966764,2182114,3482973,2305846,3993785,2303902,3821783,2244628
"광물성연료,윤활유 및 관련물질",석유석유제품 및 관련물질,달리 명시되지 않은 않은 잔여 석유생산물 및 관련물질,190201,112893,184095,104207,184168,104100,108861,52623,118698,39682,153739,53804,163622,51762,137927,54463,146368,61396,121627,56058,137367,61008,128926,90812,158474,88739,174290,118033,166319,111464,145478,133094,168464,142538,201206,117214,226413,128961,195567,109108,168993,176963,196940,121942,248564,133540
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,소계,46867,2412987,31127,2395165,34092,1942933,35224,1695338,33531,1573585,31777,1344594,29273,1148953,29496,833699,37728,1030864,37886,1318430,36434,1375382,37054,1852894,43044,2233432,33122,3150534,30879,2164941,29038,1463977,29321,1779216,36717,1835457,61169,2504259,43527,2315899,50295,2545504,48457,3121404,154471,3644479
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,액화프로판 및 부탄,40087,454487,27085,272401,29163,289592,32551,204852,29519,180946,26261,194268,26082,236927,25882,204359,34340,246126,33648,241789,33334,249452,31648,310488,32793,380200,24791,390905,22907,313136,19493,356632,20680,382077,29243,379704,41856,483525,29858,429287,26304,411815,40307,503219,35004,547195
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,천연개스,-,1949108,-,2110180,-,1636739,1039,1481172,1811,1389046,812,1145198,-,906099,973,620816,1660,772814,835,1061443,23,1117854,767,1525919,0,1830160,0,2741845,2164,1838009,0,1093414,1239,1383946,2405,1442987,12895,2002038,2165,1860134,12182,2114658,424,2606288,110348,3093881
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,기타 석유가스 및 달리 명시되지 않은 기타 가스성 탄화수소,6706,9392,3994,12583,4854,16602,1600,9314,2178,3593,4689,5128,3143,5927,2625,8525,1704,11923,3369,15198,3051,8077,4584,16486,10232,23072,8291,17784,5756,13796,9513,13932,7359,13192,4989,12766,6377,18696,11450,26477,11754,19031,7659,11897,9020,3403
"광물성연료,윤활유 및 관련물질",천연가스 및 제조가스,석탄가스수성가스발생로가스 및 유사가스,73,-,48,-,75,-,34,-,22,-,15,-,47,-,16,-,24,-,34,-,26,-,56,-,19,-,40,-,52,-,32,-,43,-,80,-,40,-,54,-,55,-,67,-,99,-
"동식물성유지 및 왁스",소계,소계,5929,113913,7942,98361,9072,134599,7657,115358,5751,93470,8123,99345,7694,137275,8738,89089,7297,115315,8200,84737,7374,104604,6081,113070,5821,126231,6899,171943,9551,150359,9001,177761,9710,201941,8044,197632,10423,202121,11873,203533,9118,168284,8497,160725,8248,196395
"동식물성유지 및 왁스",동물성 유지,소계,1534,5409,601,4991,469,3253,556,4900,1114,4810,1572,1762,885,4805,1671,3451,1075,2811,1974,4532,1403,5074,876,5356,1048,4469,1062,4720,2583,6593,1841,6611,2370,7000,2341,6537,1236,2504,3106,3726,1118,3387,3324,8780,2865,4814
"동식물성유지 및 왁스",동물성 유지,동물성 유지,1534,5409,601,4991,469,3253,556,4900,1114,4810,1572,1762,885,4805,1671,3451,1075,2811,1974,4532,1403,5074,876,5356,1048,4469,1062,4720,2583,6593,1841,6611,2370,7000,2341,6537,1236,2504,3106,3726,1118,3387,3324,8780,2865,4814
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,소계,2525,99011,3513,85822,3120,121477,3612,96608,2410,79111,3187,87747,3359,124150,2534,77817,2920,104371,2659,71060,2970,89870,2807,95505,3335,109211,3491,154834,3720,126663,3690,156494,3172,175463,2824,176534,2670,186439,3179,185252,3585,152669,3270,138220,2995,175880
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,연성불휘발성 식물성기름,2043,52838,3012,37170,2608,64747,2853,41040,1956,37213,2650,42742,2813,65289,1999,31367,2455,60459,2069,41618,2577,50536,2187,40689,2898,56786,3075,65209,3154,74393,3098,69233,2348,94675,2366,91375,2295,89527,2716,87639,3199,109674,2581,78705,2608,109693
"동식물성유지 및 왁스",불휘발성 식물성기름조유정제 또는 분획된 것,불휘발성의 식물성유지가공하지 않은것조상정제 또는 분별한것,482,46173,502,48652,512,56730,759,55569,455,41899,537,45005,546,58860,535,46450,465,43913,590,29443,393,39334,620,54815,438,52425,416,89625,566,52269,593,87262,824,80788,458,85159,375,96912,464,97612,387,42995,688,59516,387,66187
"동식물성유지 및 왁스",달리 분류되지 않은 동식물성유지처리한 것,소계,1870,9493,3828,7548,5483,9869,3489,13851,2227,9548,3364,9835,3450,8320,4533,7821,3302,8133,3567,9145,3001,9659,2398,12209,1437,12552,2346,12390,3248,17103,3469,14655,4167,19478,2879,14561,6517,13178,5588,14556,4415,12228,1904,13724,2388,15701
"동식물성유지 및 왁스",달리 분류되지 않은 동식물성유지처리한 것,달리 분류되지 않은 동식물성유지처리한 것왁스,1870,9493,3828,7548,5483,9869,3489,13851,2227,9548,3364,9835,3450,8320,4533,7821,3302,8133,3567,9145,3001,9659,2398,12209,1437,12552,2346,12390,3248,17103,3469,14655,4167,19478,2879,14561,6517,13178,5588,14556,4415,12228,1904,13724,2388,15701
"화학물 및 관련제품",소계,소계,5820179,4347102,5682386,3714024,6589448,4673388,5575071,4309061,5219015,3698037,5724015,3971854,6081194,4273493,5884684,3709611,6980181,4085879,6382721,4372743,6630009,4712067,7628880,5140305,7195402,4720802,7201025,4400195,8816631,5529390,8334483,5461619,8147766,5134230,8383912,5545412,8476325,5287828,8601777,5545672,8794158,5832870,8817389,5680797,8855418,5898254
"화학물 및 관련제품",유기화학물,소계,1572465,1047926,1430568,897531,1351833,1127596,1092753,1045873,1050434,867006,1222415,892846,1266427,967808,1124126,908168,1260852,1004818,1173767,1013707,1165283,1242494,1437673,1318432,1438690,1264718,1600453,1141899,2014408,1423514,1915855,1490889,1895224,1353086,1873940,1416076,2019174,1259003,2180143,1343675,2073158,1340034,2117704,1372425,2133115,1492070
"화학물 및 관련제품",유기화학물,달리 명시되지 않은 탄화수소 및 그 유도체,931275,192091,806524,196263,678286,188463,545949,182626,532364,112014,613490,156396,649204,205047,567244,221159,656890,215113,570282,211079,570658,364045,709574,374018,757081,275405,817655,206262,1051152,239826,1110851,297381,994477,274435,910492,326744,1051787,207070,1231311,254681,1149509,216982,1199846,225949,1202888,221427
"화학물 및 관련제품",유기화학물,알콜페놀-알콜 및 그들의 할로겐화,134655,229265,109580,228728,120285,250603,114959,225732,120210,196674,141363,195862,135249,203710,97114,191459,108430,220082,91495,201701,82822,219555,113854,264347,144121,264197,155473,296303,207428,318470,195749,329573,210417,303587,203483,337936,210945,309770,235716,348456,216421,347163,211116,364152,175933,353843
"화학물 및 관련제품",유기화학물,카르복시산과 그들의 무수물.할로겐화물.과산화물과 과산화산,230725,102499,255190,80858,258749,113481,202043,107774,174863,92791,225042,91825,214292,104354,201743,90756,203535,96054,207859,95065,206794,104387,233621,125301,209033,123737,264951,126448,316851,163337,243473,173829,281099,155916,344005,149690,300072,145583,321754,133085,322950,138580,313130,135377,332468,167018
"화학물 및 관련제품",유기화학물,질소관능화합물,137552,153028,114274,126241,116388,196474,86962,170530,77632,152782,102802,142929,103642,141634,102185,125633,127268,140766,131121,155993,115220,162564,166390,191045,141734,177275,155390,167533,219656,228120,156502,226538,176053,207541,174618,219125,226133,192166,157831,209706,148887,215439,182343,216595,196449,269430
"화학물 및 관련제품",유기화학물,유기-무기화합물헤테르고리화합물헥산,71430,266872,84137,171019,103371,268624,86423,266403,99222,217051,91326,215236,107267,220151,94166,180543,88534,224732,90629,244784,116470,290489,130762,252932,99315,309506,121044,226367,111552,335342,103760,321611,116249,283727,147840,250612,117558,268965,128965,269746,127102,312972,125945,305490,125195,327233
"화학물 및 관련제품",유기화학물,기타 유기화합물,66828,104172,60863,94421,74754,109949,56417,92809,46143,95694,48392,90598,56773,92912,61674,98617,76196,108071,82381,105084,73318,101455,83472,110789,87407,114598,85940,118986,107768,138419,105520,141958,116929,127879,93501,131970,112679,135449,104567,128002,108289,108899,85324,124861,100183,153119
"화학물 및 관련제품",무기화학물,소계,432517,776365,383315,464825,494861,626836,379799,547832,328047,476332,372501,457935,407594,614525,419825,468260,497051,538894,476804,664517,501479,743969,556492,892046,527275,688589,522250,655370,612636,793017,632652,883881,612938,783419,635127,1052300,620960,843272,679782,1042672,691817,896762,679026,940683,673605,1112111
"화학물 및 관련제품",무기화학물,무기화학원소산화물 및 할로겐염,163122,360075,125982,290698,165177,414031,112081,339276,95697,307054,106772,276147,117430,322965,122851,299340,148678,334791,133753,375786,122235,442879,137027,414392,139148,450850,131618,420106,165731,529424,163105,528760,160067,523697,164733,597932,162411,539496,170240,622075,169885,618077,191261,613992,181301,629689
"화학물 및 관련제품",무기화학물,무기산의 금속염 및 과산화염,47741,111515,50364,79758,58180,102051,50980,102626,39440,91986,52725,99988,55898,78171,60390,72300,57847,108395,50973,101166,54364,109075,55984,105098,47250,99994,67119,113033,83138,114930,78825,123869,67627,115561,76525,142783,83137,108610,83907,116128,82697,127004,92478,141370,84426,145861
