"품목별(1)",품목별(2),품목별(3),2020. 01,2020. 01,2020. 02,2020. 02,2020. 03,2020. 03,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11,2020. 12,2020. 12,2021. 01,2021. 01,2021. 02,2021. 02,2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05,2021. 06,2021. 06,2021. 07,2021. 07,2021. 08,2021. 08,2021. 09,2021. 09,2021. 10,2021. 10,2021. 11,2021. 11
"품목별(1)",품목별(2),품목별(3),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러),수출액 (천달러),수입액 (천달러)
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,소계,156670,548094,132829,366869,174565,365874,162220,382021,130412,433553,169127,424154,167403,429819,151393,407139,150490,452826,180216,435802,187974,492672,206312,528874,136766,487331,140629,376424,210050,486530,205305,452437,179792,444671,200502,457506,228901,434763,200364,431681,189430,438797,240361,486358,258219,599699
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,물고기신선(산것 포함)냉장 또는 냉동한 것,88686,283771,70082,197777,79090,183995,72909,173948,44892,200492,75498,178472,76535,166917,75428,150743,67669,184298,91375,157522,96486,202334,106333,246541,67201,252580,70830,182321,113488,225875,102095,212398,78427,185837,90876,215829,124045,199040,106947,196250,93506,171729,121254,208099,142305,276458
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,건조.염장.염수장 또는 훈제한 어류,825,8040,1382,5404,2090,6400,2083,7443,1550,9453,2348,11400,1961,10977,1347,10332,1769,8870,2555,10704,2829,10260,2455,12124,1916,7598,1300,5929,2704,8806,2019,6685,1892,8475,2130,8087,1752,8901,1827,8106,1710,7061,2543,8628,2046,12862
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,갑각류연체동물 및 수생무척추동물,8513,127235,9213,72114,12082,80382,9171,102562,12875,116802,14176,121101,15762,132720,14832,127212,12681,143392,14438,131375,13239,152834,17013,138824,9497,106548,10366,84408,16825,123652,16057,123194,13603,132517,22159,127423,28102,118923,21216,116588,17765,126002,25621,136846,19414,162531
"식품 및 산동물",물고기갑각류연체동물 및 수생무척추동물,달리 명시되지 않은 어류갑각류연체동물기타 수생무척추동물,58646,129048,52151,91574,81303,95096,78056,98068,71095,106806,77105,113181,73145,119204,59786,118852,68370,116266,71848,136201,75421,127244,80511,131386,58153,120605,58133,103765,77033,128198,85134,110160,85871,117842,85336,106167,75002,107898,70374,110737,76450,134005,90942,132785,94454,147849
"식품 및 산동물",곡식 및 곡식가공품,소계,34174,420212,40869,369166,44866,343868,60005,360277,43290,393115,43157,415333,44340,416023,42891,306032,49689,380795,46371,387400,51047,311440,47589,362302,44268,485942,42700,311457,59881,443511,62570,454520,54397,512137,50136,474542,50365,503174,50191,463346,50926,508488,63144,512909,62519,551962
"식품 및 산동물",곡식 및 곡식가공품,밀(스펠트포함)과 메슬린.정미하지 않은 것,-,74234,-,91547,-,75230,4,70630,-,83165,-,92379,-,91137,-,68925,-,87896,-,88736,-,52388,-,94186,-,77818,-,63509,-,99335,-,91621,-,107848,-,87704,-,117091,-,118996,-,113102,-,195709,-,169626
"식품 및 산동물",곡식 및 곡식가공품,쌀(벼포함),271,64000,2333,20561,1097,31173,12127,33352,5156,29818,195,53353,366,43064,2083,5337,2144,26352,327,19187,873,5778,404,43439,479,68391,232,7611,431,25512,11555,38489,5416,68126,200,17141,315,40918,294,32117,613,29851,2197,404,475,10179
"식품 및 산동물",곡식 및 곡식가공품,보리도정되지 않은 것,14,1473,12,3622,13,1088,50,1317,35,1207,24,1079,4,1382,10,155,28,1343,34,153,79,1187,11,1062,36,1428,10,3800,17,637,14,964,25,912,21,1266,22,1362,49,752,25,1109,30,1274,12,912
"식품 및 산동물",곡식 및 곡식가공품,옥수수,0,215410,1,204570,2,181498,1,197690,0,223145,1,202987,6,221120,2,177656,51,198301,5,213141,1,185124,0,150280,0,271223,0,178009,29,245084,3,252220,1,271515,3,293410,4,273378,11,242442,0,294104,3,246325,14,297884
